User_ID,Book_ID,Book_Title,Recommendation_Score
8,688,The Da Vinci Code,19
8,7123,Last Man Standing,19
98391,44787,Rising Stars : Born In Fire (Vol. 1),10
98391,127844,Seven Wild Sisters,10
98391,49165,Once A Pirate,10
98391,16476,Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin & Sabine Continues,10
98391,149,Crow Lake (Today Show Book Club #7),10
153662,49224,Wicked,10
153662,65613,Deadly Pleasure,10
153662,93,Fast Women,10
153662,32911,Mother Earth Father Sky,10
153662,147,Wish You Well,10
189835,50714,Heartsongs,10
189835,5686,The Eyes of the Dragon,10
189835,98361,The Stand,10
189835,47184,Two Dead Girls (Green Mile S.),10
23902,5683,Beloved,10
23902,7477,Cowboys Are My Weakness,10
23902,44029,Madame Bovary: Life in a Country Town (World's Classics),9
23902,4482,Midnight In the Garden of Good and Evil,8
